Numero,Nombre,Posicion,Equipo,Partidos_jugados,Partidos_titular,Goles,Asistencias,Tarjetas_amarillas,Edad,Altura,ELO,categoria,Goles_por_partido,Asistencias_por_partido,Participacion_goles,Participacion_por_partido,Posición_Club,Aporte_Goles,Aporte_Puntos,RC,IDR,Impacto_Total
9.0,Jaime Barroso,Delanteros,REAL MADRID U19,21,17,16.0,0.0,4.0,17.0,184.0,37,División de Honor,0.76,0.0,16.0,0.76,1,22.54,7.04,0.76,2.67,0.538
9.0,S. Esteban,Delanteros,ATLÉTICO U19,27,23,19.0,0.0,4.0,18.0,,43,División de Honor,0.7,0.0,19.0,0.7,2,23.17,8.36,0.66,2.44,0.521
9.0,Sule,Delanteros,LEGANÉS U19,25,24,17.0,0.0,8.0,19.0,,41,División de Honor,0.68,0.0,17.0,0.68,3,26.56,10.79,0.6,1.04,0.496
27.0,M. Company,Centrocampistas,REAL MADRID U19,2,0,1.0,0.0,0.0,16.0,,26,División de Honor,0.5,0.0,1.0,0.5,1,1.41,0.44,0.5,28.0,0.434
20.0,Gabriel Castrelo,Centrocampistas,ATLÉTICO U19,15,11,8.0,0.0,1.0,18.0,,44,División de Honor,0.53,0.0,8.0,0.53,2,9.76,3.52,0.5,4.4,0.388
16.0,M. Villafafila,Delanteros,VALLADOLID U19,21,14,13.0,0.0,3.0,19.0,185.0,43,División de Honor,0.62,0.0,13.0,0.62,5,26.53,9.13,0.47,0.14,0.443
23.0,Jesús Barrios,Centrocampistas,ATLÉTICO U19,30,25,14.0,0.0,2.0,19.0,,43,División de Honor,0.47,0.0,14.0,0.47,2,17.07,6.16,0.44,2.2,0.392
19.0,M. Cuéllar,Delanteros,GETAFE U19,27,24,14.0,0.0,4.0,18.0,191.0,32,División de Honor,0.52,0.0,14.0,0.52,4,33.33,8.88,0.43,0.15,0.403
18.0,Tomy,Delanteros,UNIÓN ADARVE U19,17,14,10.0,0.0,3.0,18.0,,33,División de Honor,0.59,0.0,10.0,0.59,7,19.61,8.68,0.38,-0.06,0.41
7.0,Yuri Menac,Centrocampistas,LEGANÉS U19,24,22,10.0,0.0,7.0,19.0,174.0,41,División de Honor,0.42,0.0,10.0,0.42,3,15.62,6.35,0.37,1.08,0.337
19.0,Pol Rivera,Delanteros,REAL MADRID U19,26,14,9.0,0.0,5.0,18.0,,37,División de Honor,0.35,0.0,9.0,0.35,1,12.68,3.96,0.35,2.15,0.306
10.0,Jorge Rajado,Delanteros,ATLÉTICO U19,19,10,7.0,0.0,2.0,19.0,175.0,40,División de Honor,0.37,0.0,7.0,0.37,2,8.54,3.08,0.35,3.47,0.301
11.0,Aimar Santiago,Delanteros,REAL MADRID U19,27,19,9.0,0.0,0.0,18.0,,40,División de Honor,0.33,0.0,9.0,0.33,1,12.68,3.96,0.33,2.07,0.297
